split_name,seed,feeder,split,bus_rows,scenarios,violations,violation_rate,min_vm,max_vm
synthetic_time_block,7,69,train,12420,180,1317,0.10603864734299517,0.8797447312997618,1.022671112818319
synthetic_time_block,17,33,calib,1980,60,428,0.21616161616161617,0.898903069327162,1.0085756189243464
synthetic_time_block,17,33,test,1980,60,518,0.26161616161616164,0.898229995769529,1.0106066735502732
synthetic_time_block,17,33,train,5940,180,1374,0.2313131313131313,0.8962663882419087,1.0277586518088746
synthetic_time_block,17,69,calib,4140,60,381,0.09202898550724638,0.883878905564722,1.0131945399883246
synthetic_time_block,17,69,test,4140,60,434,0.10483091787439613,0.8862233913323782,1.0307614239263108
synthetic_time_block,17,69,train,12420,180,1317,0.10603864734299517,0.8797447312997618,1.022671112818319
synthetic_time_block,42,33,calib,1980,60,428,0.21616161616161617,0.898903069327162,1.0085756189243464
synthetic_time_block,42,33,test,1980,60,518,0.26161616161616164,0.898229995769529,1.0106066735502732
synthetic_time_block,42,33,train,5940,180,1374,0.2313131313131313,0.8962663882419087,1.0277586518088746
synthetic_time_block,42,69,calib,4140,60,381,0.09202898550724638,0.883878905564722,1.0131945399883246
synthetic_time_block,42,69,test,4140,60,434,0.10483091787439613,0.8862233913323782,1.0307614239263108
synthetic_time_block,42,69,train,12420,180,1317,0.10603864734299517,0.8797447312997618,1.022671112818319
topology_heldout_33_to_69,7,33,train,9900,300,2320,0.23434343434343435,0.8962663882419087,1.0277586518088746
topology_heldout_33_to_69,7,69,calib,8280,120,870,0.10507246376811594,0.8816410706353608,1.0307614239263108
topology_heldout_33_to_69,7,69,test,12420,180,1262,0.10161030595813204,0.8797447312997618,1.022671112818319
topology_heldout_33_to_69,17,33,train,9900,300,2320,0.23434343434343435,0.8962663882419087,1.0277586518088746
topology_heldout_33_to_69,17,69,calib,8280,120,856,0.10338164251207729,0.8797447312997618,1.022671112818319
topology_heldout_33_to_69,17,69,test,12420,180,1276,0.10273752012882448,0.8816410706353608,1.0307614239263108
topology_heldout_33_to_69,42,33,train,9900,300,2320,0.23434343434343435,0.8962663882419087,1.0277586518088746
topology_heldout_33_to_69,42,69,calib,8280,120,852,0.10289855072463767,0.8816410706353608,1.022671112818319
topology_heldout_33_to_69,42,69,test,12420,180,1280,0.10305958132045089,0.8797447312997618,1.0307614239263108
