cycle,day,hour,feeder,scenario_id,telemetry_age_min,stale_telemetry,unseen_topology,out_of_envelope,operator_override,residual_alarm,voltage_violation,screen_risk_flag,queue,reason_code
34,1,5,33,153,2.222432454303208,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
35,1,5,33,159,1.8556982069196435,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
36,1,6,33,161,3.9737252411488444,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
37,1,6,33,162,1.523609691842367,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
38,1,6,33,170,1.4196692130920774,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
39,1,6,33,178,4.582776881020835,False,False,False,False,False,False,False,release,valid_low_risk
40,1,6,33,180,1.0511856656916028,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
41,1,6,33,199,5.219985836304439,True,False,True,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry;out_of_envelope_forecast
42,1,7,33,200,5.058412698441503,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
43,1,7,33,201,2.0151738916940736,False,False,False,False,False,False,False,release,valid_low_risk
44,1,7,33,206,6.056517388274363,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
45,1,7,33,213,3.8265283150967986,False,False,False,False,False,False,False,release,valid_low_risk
46,1,7,33,215,1.5836913421922778,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
47,1,7,33,221,14.373594457439033,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
48,1,8,33,233,3.009459121078598,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
49,1,8,33,235,1.1995219438797418,False,False,False,False,False,False,False,watch,near_limit_margin
50,1,8,33,236,2.3736288027584105,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
51,1,8,33,238,3.3155763620148755,False,False,False,False,False,False,False,watch,near_limit_margin
52,1,8,33,240,5.901346059349813,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
53,1,8,33,243,20.317650734350618,True,False,False,True,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry;operator_override
54,1,9,33,244,1.2241349985163956,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
55,1,9,33,260,18.372026067047244,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
56,1,9,33,264,4.314801950932648,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
57,1,9,33,285,7.776368575526983,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
58,1,9,33,289,2.0482016486879187,False,False,False,False,False,False,False,release,valid_low_risk
59,1,9,33,292,4.792344728973088,False,False,False,False,False,False,False,release,valid_low_risk
60,1,10,69,4,1.4656966748319116,False,False,False,False,False,False,False,watch,near_limit_margin
61,1,10,69,5,0.6959091356801588,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
62,1,10,69,16,3.424841910556116,False,False,False,False,False,False,False,release,valid_low_risk
63,1,10,69,17,8.610469336031441,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
64,1,10,69,20,7.324534705893764,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
65,1,10,69,22,2.1617812420044267,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
66,1,11,69,27,2.934730968169374,False,False,True,False,False,True,True,corrective_audit,interval_limit_intersection;out_of_envelope_forecast
67,1,11,69,28,5.4647822808112805,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
68,1,11,69,34,4.136288387104817,False,False,False,False,False,False,False,release,valid_low_risk
69,1,11,69,38,5.093521142150609,True,True,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry;unseen_topology
70,1,11,69,40,2.92029188086025,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
71,1,11,69,42,2.4296394773407353,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
72,1,12,69,50,6.021268996143652,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
73,1,12,69,73,5.0118169205555185,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
74,1,12,69,84,1.4985200123618045,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
75,1,12,69,88,4.492056402350057,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
76,1,12,69,99,4.394490003025271,False,False,False,False,False,False,False,release,valid_low_risk
77,1,12,69,101,3.428213268823763,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
78,1,13,69,102,1.8438742040644993,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
79,1,13,69,108,1.7807883126898933,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
80,1,13,69,116,2.395153403548912,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
81,1,13,69,118,9.352611221747086,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
82,1,13,69,120,2.6220604462896078,False,False,False,False,False,False,False,release,valid_low_risk
83,1,13,69,122,4.0405836192328035,False,False,False,False,False,False,False,release,valid_low_risk
84,1,14,69,126,1.2830058000969824,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
85,1,14,69,127,4.877833240127253,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
86,1,14,69,133,2.2716282290016094,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
87,1,14,69,136,1.784077757459843,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
88,1,14,69,144,3.2222121334953346,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
89,1,14,69,147,3.850711851284759,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
90,1,15,69,156,3.2755682251388847,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
91,1,15,69,158,5.237328154023439,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
92,1,15,69,164,3.737083444918898,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
93,1,15,69,168,4.679758322044232,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
94,1,15,69,194,1.7707350178327415,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
95,1,15,69,197,1.8742088164976316,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
96,1,16,69,200,1.1489844949199193,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
97,1,16,69,201,3.6756750936008875,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
98,1,16,69,205,7.283763308922138,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
99,1,16,69,206,6.0644465012966355,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
100,1,16,69,209,5.120840712165108,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
101,1,16,69,210,1.1610539307112342,False,False,True,False,False,True,True,corrective_audit,interval_limit_intersection;out_of_envelope_forecast
102,1,17,69,214,3.402112955759881,False,False,False,False,False,False,False,release,valid_low_risk
103,1,17,69,218,1.0127211020044473,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
104,1,17,69,230,0.9238961028131251,False,False,False,False,False,False,False,release,valid_low_risk
105,1,17,69,235,0.4710544124140428,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
106,1,17,69,244,4.2283107901522055,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
107,1,17,69,251,4.71018245639076,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
108,1,18,69,254,1.206404462174872,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
109,1,18,69,257,8.107300508502254,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
110,1,18,69,268,0.844321686028481,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
111,1,18,69,269,1.3074561347827516,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
112,1,18,69,272,1.803979250223269,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
113,1,18,69,275,3.393620847103396,False,False,False,True,False,True,True,corrective_audit,interval_limit_intersection;operator_override
114,1,19,69,281,2.720812402510197,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
115,1,19,69,286,5.365886584514114,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
116,1,19,69,291,2.087212082707505,False,False,True,False,False,False,False,corrective_audit,out_of_envelope_forecast
117,1,19,69,294,8.739030681213015,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
118,1,19,69,297,2.679537817534333,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
119,1,19,69,299,4.704047003999864,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
120,1,20,33,3,9.537521839928496,True,False,False,True,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry;operator_override
121,1,20,33,11,7.227849939773119,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
122,1,20,33,13,5.159057080154046,True,False,True,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry;out_of_envelope_forecast
123,1,20,33,17,5.6686724278947285,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
124,1,20,33,18,5.2922377093886235,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
125,1,20,33,22,2.5670584034195496,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
126,1,21,33,27,1.2418334394433699,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
127,1,21,33,31,2.0873102377413084,False,False,False,False,False,False,False,release,valid_low_risk
128,1,21,33,38,1.465894590272705,False,False,False,False,False,False,False,release,valid_low_risk
129,1,21,33,47,1.4817546562738286,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
130,1,21,33,52,1.803150321666415,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
131,1,21,33,59,3.1139419483958712,False,False,False,False,True,True,True,corrective_audit,interval_limit_intersection;rolling_residual_alarm
132,1,22,33,72,1.897805631537081,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
133,1,22,33,84,2.0741608656520967,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
134,1,22,33,86,3.605996382112433,False,False,False,False,False,False,False,release,valid_low_risk
135,1,22,33,94,8.596825909305837,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
136,1,22,33,95,4.807076275268312,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
137,1,22,33,104,1.6464072525676923,False,False,False,False,False,False,False,release,valid_low_risk
138,1,23,33,105,6.221184951014581,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
139,1,23,33,112,3.878231554926574,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
140,1,23,33,116,1.0981494709199455,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
141,1,23,33,122,2.136472147590606,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
142,1,23,33,124,0.7936980806878229,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
143,1,23,33,128,2.7039123244266032,False,False,False,False,False,False,False,watch,near_limit_margin
144,2,0,33,131,4.444467984502005,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
145,2,0,33,133,3.566535647067571,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
146,2,0,33,134,3.270053687863165,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
147,2,0,33,135,7.891428359438839,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
148,2,0,33,136,7.442380418058505,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
149,2,0,33,137,4.043557255136546,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
150,2,1,33,139,2.9624263380851774,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
151,2,1,33,141,1.3116199188306257,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
152,2,1,33,143,2.152140150218153,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
153,2,1,33,149,4.4562787527908965,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
154,2,1,33,153,3.948896937639818,False,True,False,False,False,True,True,corrective_audit,interval_limit_intersection;unseen_topology
155,2,1,33,159,1.5526353888476463,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
156,2,2,33,161,3.467376253445519,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
157,2,2,33,162,5.774254184462822,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
158,2,2,33,170,4.221512934322536,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
159,2,2,33,178,8.724009242876551,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
160,2,2,33,180,1.629786998704402,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
161,2,2,33,199,9.17802243468149,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
162,2,3,33,200,8.498736166131797,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
163,2,3,33,201,2.6738830405126803,False,False,False,False,False,False,False,release,valid_low_risk
164,2,3,33,206,0.537009810783888,False,True,False,False,False,True,True,corrective_audit,interval_limit_intersection;unseen_topology
165,2,3,33,213,3.16444266450521,False,False,False,False,False,False,False,release,valid_low_risk
166,2,3,33,215,3.3075796560021153,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
167,2,3,33,221,1.6142629820547287,False,False,False,False,False,False,False,release,valid_low_risk
168,2,4,33,233,1.8106600714657062,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
169,2,4,33,235,2.4953548489494075,False,False,False,False,False,False,False,watch,near_limit_margin
170,2,4,33,236,2.7964260263254155,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
171,2,4,33,238,2.0600943585932234,False,False,False,False,False,False,False,watch,near_limit_margin
172,2,4,33,240,3.871490173881929,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
173,2,4,33,243,2.965142098093124,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
174,2,5,33,244,5.661097074971493,True,False,True,False,True,True,True,corrective_audit,interval_limit_intersection;stale_telemetry;out_of_envelope_forecast;rolling_residual_alarm
175,2,5,33,260,18.568979958998188,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
176,2,5,33,264,5.33628571410798,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
177,2,5,33,285,5.262321667362116,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
178,2,5,33,289,0.24519862191084402,False,False,False,False,False,False,False,release,valid_low_risk
179,2,5,33,292,4.161626178395038,False,False,False,False,False,False,False,release,valid_low_risk
180,2,6,69,4,0.8222101179696253,False,False,False,False,False,False,False,watch,near_limit_margin
181,2,6,69,5,3.5768154375198478,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
182,2,6,69,16,4.596351509539249,False,False,False,False,False,False,False,release,valid_low_risk
183,2,6,69,17,3.2193987886548725,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
184,2,6,69,20,5.235857807279219,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
185,2,6,69,22,1.1053172335048014,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
186,2,7,69,27,4.328172689882073,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
187,2,7,69,28,5.592953118255922,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
188,2,7,69,34,4.837445134886456,False,False,False,False,False,False,False,release,valid_low_risk
189,2,7,69,38,5.886052012108665,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
190,2,7,69,40,10.110370023120698,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
191,2,7,69,42,2.9025086416396815,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
192,2,8,69,50,1.6961449074435753,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
193,2,8,69,73,2.520803563627892,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
194,2,8,69,84,4.350731066843976,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
195,2,8,69,88,0.7662305298767669,False,False,False,False,True,True,True,corrective_audit,interval_limit_intersection;rolling_residual_alarm
196,2,8,69,99,3.870972969328193,False,False,False,False,False,False,False,release,valid_low_risk
197,2,8,69,101,8.979416950817868,True,False,False,True,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry;operator_override
198,2,9,69,102,8.834129296150124,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
199,2,9,69,108,3.602287063594486,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
200,2,9,69,116,6.33490007607691,True,False,True,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry;out_of_envelope_forecast
201,2,9,69,118,2.3600458287428765,False,False,False,False,True,True,True,corrective_audit,interval_limit_intersection;rolling_residual_alarm
202,2,9,69,120,12.729443931488147,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
203,2,9,69,122,0.9308400155992926,False,False,False,False,False,False,False,release,valid_low_risk
204,2,10,69,126,0.9661152794208895,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
205,2,10,69,127,4.725342418335934,False,False,True,False,False,True,True,corrective_audit,interval_limit_intersection;out_of_envelope_forecast
206,2,10,69,133,4.462828099360343,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
207,2,10,69,136,3.07408412950216,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
208,2,10,69,144,2.062866459994498,False,True,False,False,False,True,True,corrective_audit,interval_limit_intersection;unseen_topology
209,2,10,69,147,4.375360946175458,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
210,2,11,69,156,2.2228684142141972,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
211,2,11,69,158,6.374841575671235,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
212,2,11,69,164,2.2259615381747815,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
213,2,11,69,168,8.181746326200944,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
214,2,11,69,194,0.6188551047055992,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
215,2,11,69,197,0.6398908556005869,False,False,False,True,False,True,True,corrective_audit,interval_limit_intersection;operator_override
216,2,12,69,200,2.380768797283816,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
217,2,12,69,201,1.8253017597278622,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
218,2,12,69,205,2.5880653609066284,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
219,2,12,69,206,3.6149442712778446,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
220,2,12,69,209,2.9521367211382463,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
221,2,12,69,210,0.7987006297707171,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
222,2,13,69,214,0.7251397744376774,False,False,False,False,False,False,False,release,valid_low_risk
223,2,13,69,218,1.4185693603239575,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
224,2,13,69,230,12.33117527675046,True,False,False,False,True,False,False,corrective_audit,stale_telemetry;rolling_residual_alarm
225,2,13,69,235,1.7676203631735257,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
226,2,13,69,244,3.495366299961282,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
227,2,13,69,251,2.6337015541727493,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
228,2,14,69,254,1.7955091389002698,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
229,2,14,69,257,3.934808247760457,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
230,2,14,69,268,2.0123951011701102,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
231,2,14,69,269,0.028857360514789033,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
232,2,14,69,272,2.356190633688196,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
233,2,14,69,275,6.980729770093484,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
234,2,15,69,281,8.472606089202943,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
235,2,15,69,286,11.181123431651882,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
236,2,15,69,291,1.2482157531561613,False,False,False,False,False,False,False,release,valid_low_risk
237,2,15,69,294,4.106980910333511,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
238,2,15,69,297,3.7282418512825153,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
239,2,15,69,299,3.2920229412901363,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
240,2,16,33,3,1.4526658174015157,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
241,2,16,33,11,0.3704628571284051,False,False,False,False,False,False,False,release,valid_low_risk
242,2,16,33,13,0.3839512793322221,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
243,2,16,33,17,2.754684596388994,False,False,False,False,False,False,False,release,valid_low_risk
244,2,16,33,18,1.4659052171179099,False,False,False,False,False,False,False,release,valid_low_risk
245,2,16,33,22,12.361278687257165,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
246,2,17,33,27,17.356542527968564,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
247,2,17,33,31,2.8782339513024544,False,False,False,False,False,False,False,release,valid_low_risk
248,2,17,33,38,4.166576890688361,False,False,False,False,False,False,False,release,valid_low_risk
249,2,17,33,47,6.797495298764223,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
250,2,17,33,52,1.6022707375019785,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
251,2,17,33,59,2.208989025963951,False,False,False,False,True,True,True,corrective_audit,interval_limit_intersection;rolling_residual_alarm
252,2,18,33,72,1.74585813119109,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
253,2,18,33,84,5.358670730891757,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
254,2,18,33,86,6.993502699405886,True,False,False,False,False,False,False,corrective_audit,stale_telemetry
255,2,18,33,94,2.6356717987169627,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
256,2,18,33,95,10.881157117743316,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
257,2,18,33,104,2.626543873936626,False,False,False,False,False,False,False,release,valid_low_risk
258,2,19,33,105,0.5618090535349506,False,False,False,False,False,False,False,release,valid_low_risk
259,2,19,33,112,4.436491546131497,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
260,2,19,33,116,1.204098996642863,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
261,2,19,33,122,2.2045337600358983,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
262,2,19,33,124,0.8872800753733608,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
263,2,19,33,128,1.7018200614581054,False,False,False,False,False,False,False,watch,near_limit_margin
264,2,20,33,131,2.2180163990583632,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
265,2,20,33,133,4.201961681325071,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
266,2,20,33,134,2.4448805890886813,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
267,2,20,33,135,0.5201002390475613,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
268,2,20,33,136,2.113105420496256,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
269,2,20,33,137,0.2633773391039082,False,False,False,False,True,True,True,corrective_audit,interval_limit_intersection;rolling_residual_alarm
270,2,21,33,139,4.998932373247797,False,False,False,True,False,True,True,corrective_audit,interval_limit_intersection;operator_override
271,2,21,33,141,4.810025528026783,False,False,False,False,False,True,True,corrective_audit,interval_limit_intersection
272,2,21,33,143,5.99554112960814,True,False,False,False,False,True,True,corrective_audit,interval_limit_intersection;stale_telemetry
